text,label
Urgent: Complete KYC for your ICICI account by sharing PAN.,phishing
This is the SEBI. Pay ₹24684 to avoid penalties.,phishing
We noticed suspicious activity in your SBI account. Share your card number now.,phishing
Kindly provide your PIN to continue using your HDFC account.,phishing
This is the RBI. Pay ₹21629 to avoid penalties.,phishing
Kindly provide your card number to continue using your Axis account.,phishing
Your ICICI account has been suspended. Verify your PAN immediately.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Your SBI account has been suspended. Verify your PIN immediately.,phishing
"Dear user, your Google subscription will be cancelled. Confirm your PIN.",phishing
Your card is blocked. Call +91-9123456780 and provide OTP to unblock.,phishing
We noticed suspicious activity in your Axis account. Share your OTP now.,phishing
Urgent: Complete KYC for your SBI account by sharing PAN.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your Aadhaar number.",phishing
Urgent: Complete KYC for your SBI account by sharing PAN.,phishing
Your card is blocked. Call +91-9988776655 and provide PAN to unblock.,phishing
Congratulations! You have won a car. Send your PIN to claim.,phishing
This is the Income Tax Department. Pay ₹24737 to avoid penalties.,phishing
This is the SEBI. Pay ₹7503 to avoid penalties.,phishing
You are eligible for a loan of ₹41145. Provide OTP to proceed.,phishing
Urgent: Complete KYC for your PNB account by sharing card number.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
Urgent: Complete KYC for your HDFC account by sharing PAN.,phishing
Your SBI account has been suspended. Verify your Aadhaar number immediately.,phishing
Kindly provide your PIN to continue using your HDFC account.,phishing
Your PNB account has been suspended. Verify your card number immediately.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Your card is blocked. Call +91-9123456780 and provide Aadhaar number to unblock.,phishing
Kindly provide your PIN to continue using your ICICI account.,phishing
Urgent: Complete KYC for your ICICI account by sharing PAN.,phishing
You are eligible for a loan of ₹1899. Provide card number to proceed.,phishing
Kindly provide your Aadhaar number to continue using your HDFC account.,phishing
Update your Google login immediately or access will be revoked.,phishing
Kindly provide your PAN to continue using your SBI account.,phishing
Update your Microsoft login immediately or access will be revoked.,phishing
You are eligible for a loan of ₹7503. Provide PAN to proceed.,phishing
Congratulations! You have won a gift card. Send your Aadhaar number to claim.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
Your card is blocked. Call +91-9123456780 and provide OTP to unblock.,phishing
Your card is blocked. Call +91-9876543210 and provide PAN to unblock.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your Aadhaar number.",phishing
Kindly provide your Aadhaar number to continue using your SBI account.,phishing
This is the SEBI. Pay ₹46084 to avoid penalties.,phishing
Congratulations! You have won a gift card. Send your Aadhaar number to claim.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
This is the Income Tax Department. Pay ₹34586 to avoid penalties.,phishing
You are eligible for a loan of ₹14989. Provide OTP to proceed.,phishing
Urgent: Complete KYC for your PNB account by sharing PIN.,phishing
This is the SEBI. Pay ₹3774 to avoid penalties.,phishing
Congratulations! You have won a lottery. Send your Aadhaar number to claim.,phishing
We noticed suspicious activity in your HDFC account. Share your card number now.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your Aadhaar number.",phishing
Kindly provide your card number to continue using your HDFC account.,phishing
Your HDFC account has been suspended. Verify your PAN immediately.,phishing
Kindly provide your card number to continue using your Axis account.,phishing
Congratulations! You have won a car. Send your card number to claim.,phishing
Your PNB account has been suspended. Verify your PAN immediately.,phishing
Your SBI account has been suspended. Verify your card number immediately.,phishing
You are eligible for a loan of ₹36851. Provide PIN to proceed.,phishing
Kindly provide your card number to continue using your PNB account.,phishing
You are eligible for a loan of ₹2784. Provide OTP to proceed.,phishing
This is the SEBI. Pay ₹31530 to avoid penalties.,phishing
Kindly provide your PIN to continue using your Axis account.,phishing
Kindly provide your OTP to continue using your HDFC account.,phishing
Kindly provide your Aadhaar number to continue using your PNB account.,phishing
Kindly provide your Aadhaar number to continue using your PNB account.,phishing
You are eligible for a loan of ₹26993. Provide card number to proceed.,phishing
"Dear user, your Netflix subscription will be cancelled. Confirm your card number.",phishing
Kindly provide your PAN to continue using your HDFC account.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your OTP.",phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your PAN.",phishing
This is the RBI. Pay ₹21677 to avoid penalties.,phishing
You are eligible for a loan of ₹31165. Provide card number to proceed.,phishing
This is the SEBI. Pay ₹20588 to avoid penalties.,phishing
We noticed suspicious activity in your ICICI account. Share your OTP now.,phishing
We noticed suspicious activity in your Axis account. Share your OTP now.,phishing
You are eligible for a loan of ₹21677. Provide OTP to proceed.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your OTP.",phishing
Update your Google login immediately or access will be revoked.,phishing
Your card is blocked. Call +91-9988776655 and provide PAN to unblock.,phishing
Urgent: Complete KYC for your SBI account by sharing PAN.,phishing
You are eligible for a loan of ₹4276. Provide PAN to proceed.,phishing
Your HDFC account has been suspended. Verify your PIN immediately.,phishing
Urgent: Complete KYC for your HDFC account by sharing PIN.,phishing
This is the Income Tax Department. Pay ₹21589 to avoid penalties.,phishing
You are eligible for a loan of ₹43857. Provide PIN to proceed.,phishing
Your HDFC account has been suspended. Verify your card number immediately.,phishing
We noticed suspicious activity in your HDFC account. Share your PIN now.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
Your SBI account has been suspended. Verify your Aadhaar number immediately.,phishing
Update your Netflix login immediately or access will be revoked.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your card number.",phishing
Your Axis account has been suspended. Verify your Aadhaar number immediately.,phishing
Your card is blocked. Call +91-9123456780 and provide Aadhaar number to unblock.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Congratulations! You have won a iPhone. Send your Aadhaar number to claim.,phishing
Your card is blocked. Call +91-9123456780 and provide card number to unblock.,phishing
Congratulations! You have won a iPhone. Send your card number to claim.,phishing
Kindly provide your OTP to continue using your SBI account.,phishing
This is the Income Tax Department. Pay ₹43642 to avoid penalties.,phishing
We noticed suspicious activity in your Axis account. Share your Aadhaar number now.,phishing
You are eligible for a loan of ₹44219. Provide card number to proceed.,phishing
Kindly provide your PIN to continue using your Axis account.,phishing
Your Axis account has been suspended. Verify your OTP immediately.,phishing
Your card is blocked. Call +91-9123456780 and provide Aadhaar number to unblock.,phishing
Urgent: Complete KYC for your PNB account by sharing Aadhaar number.,phishing
Your card is blocked. Call +91-9876543210 and provide PIN to unblock.,phishing
This is the RBI. Pay ₹38352 to avoid penalties.,phishing
Congratulations! You have won a gift card. Send your Aadhaar number to claim.,phishing
Kindly provide your PIN to continue using your PNB account.,phishing
Urgent: Complete KYC for your HDFC account by sharing OTP.,phishing
You are eligible for a loan of ₹7503. Provide card number to proceed.,phishing
Your SBI account has been suspended. Verify your Aadhaar number immediately.,phishing
Your card is blocked. Call +91-9988776655 and provide Aadhaar number to unblock.,phishing
Your card is blocked. Call +91-9123456780 and provide OTP to unblock.,phishing
Your card is blocked. Call +91-9988776655 and provide card number to unblock.,phishing
You are eligible for a loan of ₹10927. Provide OTP to proceed.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your card number.",phishing
Kindly provide your card number to continue using your ICICI account.,phishing
This is the RBI. Pay ₹36247 to avoid penalties.,phishing
Congratulations! You have won a car. Send your PIN to claim.,phishing
Congratulations! You have won a lottery. Send your PIN to claim.,phishing
Your card is blocked. Call +91-9988776655 and provide PAN to unblock.,phishing
Kindly provide your Aadhaar number to continue using your PNB account.,phishing
Congratulations! You have won a iPhone. Send your OTP to claim.,phishing
Your PNB account has been suspended. Verify your PAN immediately.,phishing
You are eligible for a loan of ₹5822. Provide PAN to proceed.,phishing
Your Axis account has been suspended. Verify your PIN immediately.,phishing
Kindly provide your OTP to continue using your SBI account.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
This is the SEBI. Pay ₹34586 to avoid penalties.,phishing
Congratulations! You have won a gift card. Send your card number to claim.,phishing
Urgent: Complete KYC for your Axis account by sharing OTP.,phishing
Congratulations! You have won a lottery. Send your Aadhaar number to claim.,phishing
Your Axis account has been suspended. Verify your OTP immediately.,phishing
Kindly provide your PIN to continue using your Axis account.,phishing
Your SBI account has been suspended. Verify your card number immediately.,phishing
You are eligible for a loan of ₹43318. Provide PIN to proceed.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
This is the SEBI. Pay ₹37690 to avoid penalties.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your OTP.",phishing
Congratulations! You have won a lottery. Send your OTP to claim.,phishing
Your card is blocked. Call +91-9988776655 and provide Aadhaar number to unblock.,phishing
We noticed suspicious activity in your HDFC account. Share your Aadhaar number now.,phishing
"Dear user, your Google subscription will be cancelled. Confirm your Aadhaar number.",phishing
Congratulations! You have won a gift card. Send your card number to claim.,phishing
You are eligible for a loan of ₹24079. Provide PAN to proceed.,phishing
You are eligible for a loan of ₹39104. Provide PIN to proceed.,phishing
This is the Income Tax Department. Pay ₹48678 to avoid penalties.,phishing
Update your Google login immediately or access will be revoked.,phishing
This is the SEBI. Pay ₹46084 to avoid penalties.,phishing
Update your Microsoft login immediately or access will be revoked.,phishing
"Dear user, your Netflix subscription will be cancelled. Confirm your card number.",phishing
We noticed suspicious activity in your Axis account. Share your PIN now.,phishing
We noticed suspicious activity in your ICICI account. Share your PIN now.,phishing
You are eligible for a loan of ₹36078. Provide PAN to proceed.,phishing
You are eligible for a loan of ₹45687. Provide PIN to proceed.,phishing
We noticed suspicious activity in your Axis account. Share your PIN now.,phishing
We noticed suspicious activity in your HDFC account. Share your Aadhaar number now.,phishing
"Dear user, your Netflix subscription will be cancelled. Confirm your OTP.",phishing
Your card is blocked. Call +91-9123456780 and provide PAN to unblock.,phishing
You are eligible for a loan of ₹26479. Provide card number to proceed.,phishing
"Dear user, your Netflix subscription will be cancelled. Confirm your PAN.",phishing
We noticed suspicious activity in your ICICI account. Share your OTP now.,phishing
Congratulations! You have won a lottery. Send your card number to claim.,phishing
Your Axis account has been suspended. Verify your card number immediately.,phishing
This is the Income Tax Department. Pay ₹21677 to avoid penalties.,phishing
You are eligible for a loan of ₹38352. Provide Aadhaar number to proceed.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Your card is blocked. Call +91-9988776655 and provide PIN to unblock.,phishing
Congratulations! You have won a car. Send your Aadhaar number to claim.,phishing
Kindly provide your OTP to continue using your HDFC account.,phishing
Your card is blocked. Call +91-9123456780 and provide card number to unblock.,phishing
This is the Income Tax Department. Pay ₹16672 to avoid penalties.,phishing
Kindly provide your OTP to continue using your PNB account.,phishing
Your card is blocked. Call +91-9988776655 and provide Aadhaar number to unblock.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
Urgent: Complete KYC for your SBI account by sharing PAN.,phishing
Congratulations! You have won a gift card. Send your OTP to claim.,phishing
You are eligible for a loan of ₹22912. Provide card number to proceed.,phishing
"Dear user, your Netflix subscription will be cancelled. Confirm your card number.",phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
Congratulations! You have won a iPhone. Send your OTP to claim.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
This is the Income Tax Department. Pay ₹7987 to avoid penalties.,phishing
"Dear user, your Google subscription will be cancelled. Confirm your card number.",phishing
You are eligible for a loan of ₹49691. Provide OTP to proceed.,phishing
Your Axis account has been suspended. Verify your card number immediately.,phishing
Kindly provide your card number to continue using your PNB account.,phishing
We noticed suspicious activity in your HDFC account. Share your OTP now.,phishing
Your card is blocked. Call +91-9876543210 and provide OTP to unblock.,phishing
We noticed suspicious activity in your HDFC account. Share your PIN now.,phishing
Your HDFC account has been suspended. Verify your OTP immediately.,phishing
Your card is blocked. Call +91-9123456780 and provide Aadhaar number to unblock.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your Aadhaar number.",phishing
Update your Paytm login immediately or access will be revoked.,phishing
This is the SEBI. Pay ₹34586 to avoid penalties.,phishing
Update your Netflix login immediately or access will be revoked.,phishing
Congratulations! You have won a car. Send your card number to claim.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
This is the RBI. Pay ₹22375 to avoid penalties.,phishing
Kindly provide your card number to continue using your SBI account.,phishing
Congratulations! You have won a iPhone. Send your card number to claim.,phishing
Your card is blocked. Call +91-9876543210 and provide card number to unblock.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your OTP.",phishing
You are eligible for a loan of ₹25512. Provide card number to proceed.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Urgent: Complete KYC for your Axis account by sharing PAN.,phishing
Update your Google login immediately or access will be revoked.,phishing
Congratulations! You have won a lottery. Send your PAN to claim.,phishing
Your card is blocked. Call +91-9876543210 and provide Aadhaar number to unblock.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your Aadhaar number.",phishing
We noticed suspicious activity in your ICICI account. Share your OTP now.,phishing
Your Axis account has been suspended. Verify your Aadhaar number immediately.,phishing
Your card is blocked. Call +91-9988776655 and provide PIN to unblock.,phishing
You are eligible for a loan of ₹44198. Provide PIN to proceed.,phishing
Congratulations! You have won a car. Send your OTP to claim.,phishing
This is the SEBI. Pay ₹12075 to avoid penalties.,phishing
Congratulations! You have won a iPhone. Send your OTP to claim.,phishing
Kindly provide your PIN to continue using your PNB account.,phishing
Congratulations! You have won a iPhone. Send your card number to claim.,phishing
Kindly provide your PAN to continue using your ICICI account.,phishing
Kindly provide your PAN to continue using your SBI account.,phishing
This is the Income Tax Department. Pay ₹4082 to avoid penalties.,phishing
Kindly provide your PIN to continue using your Axis account.,phishing
Kindly provide your Aadhaar number to continue using your SBI account.,phishing
"Dear user, your Netflix subscription will be cancelled. Confirm your card number.",phishing
You are eligible for a loan of ₹44219. Provide card number to proceed.,phishing
Your card is blocked. Call +91-9988776655 and provide Aadhaar number to unblock.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your Aadhaar number.",phishing
Kindly provide your card number to continue using your PNB account.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your PAN.",phishing
Your SBI account has been suspended. Verify your PAN immediately.,phishing
Kindly provide your OTP to continue using your ICICI account.,phishing
Update your Google login immediately or access will be revoked.,phishing
This is the SEBI. Pay ₹5420 to avoid penalties.,phishing
Urgent: Complete KYC for your SBI account by sharing card number.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your OTP.",phishing
Update your Paytm login immediately or access will be revoked.,phishing
Your SBI account has been suspended. Verify your card number immediately.,phishing
Your HDFC account has been suspended. Verify your card number immediately.,phishing
Kindly provide your OTP to continue using your SBI account.,phishing
Kindly provide your card number to continue using your Axis account.,phishing
Kindly provide your PIN to continue using your SBI account.,phishing
We noticed suspicious activity in your ICICI account. Share your OTP now.,phishing
Urgent: Complete KYC for your HDFC account by sharing Aadhaar number.,phishing
Congratulations! You have won a lottery. Send your Aadhaar number to claim.,phishing
You are eligible for a loan of ₹7635. Provide Aadhaar number to proceed.,phishing
Your card is blocked. Call +91-9988776655 and provide PAN to unblock.,phishing
Kindly provide your OTP to continue using your PNB account.,phishing
Your card is blocked. Call +91-9876543210 and provide PAN to unblock.,phishing
Update your Netflix login immediately or access will be revoked.,phishing
Congratulations! You have won a car. Send your PAN to claim.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your OTP.",phishing
Your card is blocked. Call +91-9876543210 and provide OTP to unblock.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
Your PNB account has been suspended. Verify your OTP immediately.,phishing
You are eligible for a loan of ₹43857. Provide PAN to proceed.,phishing
Urgent: Complete KYC for your ICICI account by sharing PIN.,phishing
Your SBI account has been suspended. Verify your OTP immediately.,phishing
You are eligible for a loan of ₹44219. Provide PIN to proceed.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
You are eligible for a loan of ₹34586. Provide Aadhaar number to proceed.,phishing
Urgent: Complete KYC for your SBI account by sharing Aadhaar number.,phishing
Your SBI account has been suspended. Verify your OTP immediately.,phishing
Kindly provide your PIN to continue using your Axis account.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Kindly provide your OTP to continue using your Axis account.,phishing
You are eligible for a loan of ₹2784. Provide PAN to proceed.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your PIN.",phishing
Urgent: Complete KYC for your Axis account by sharing PAN.,phishing
Kindly provide your PAN to continue using your ICICI account.,phishing
Your card is blocked. Call +91-9876543210 and provide OTP to unblock.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
This is the SEBI. Pay ₹5420 to avoid penalties.,phishing
This is the Income Tax Department. Pay ₹28245 to avoid penalties.,phishing
Kindly provide your Aadhaar number to continue using your SBI account.,phishing
We noticed suspicious activity in your PNB account. Share your Aadhaar number now.,phishing
You are eligible for a loan of ₹8745. Provide PAN to proceed.,phishing
This is the Income Tax Department. Pay ₹18640 to avoid penalties.,phishing
We noticed suspicious activity in your SBI account. Share your Aadhaar number now.,phishing
You are eligible for a loan of ₹34351. Provide OTP to proceed.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your OTP.",phishing
Urgent: Complete KYC for your SBI account by sharing PIN.,phishing
This is the Income Tax Department. Pay ₹4276 to avoid penalties.,phishing
Urgent: Complete KYC for your HDFC account by sharing PIN.,phishing
Urgent: Complete KYC for your PNB account by sharing PAN.,phishing
Urgent: Complete KYC for your ICICI account by sharing Aadhaar number.,phishing
You are eligible for a loan of ₹43318. Provide OTP to proceed.,phishing
This is the SEBI. Pay ₹14605 to avoid penalties.,phishing
Your card is blocked. Call +91-9876543210 and provide card number to unblock.,phishing
Congratulations! You have won a lottery. Send your PAN to claim.,phishing
You are eligible for a loan of ₹4276. Provide card number to proceed.,phishing
Congratulations! You have won a lottery. Send your card number to claim.,phishing
Congratulations! You have won a gift card. Send your PIN to claim.,phishing
This is the RBI. Pay ₹44511 to avoid penalties.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
You are eligible for a loan of ₹8842. Provide OTP to proceed.,phishing
Kindly provide your PAN to continue using your ICICI account.,phishing
We noticed suspicious activity in your ICICI account. Share your card number now.,phishing
Congratulations! You have won a car. Send your OTP to claim.,phishing
This is the SEBI. Pay ₹9657 to avoid penalties.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your Aadhaar number.",phishing
Kindly provide your PIN to continue using your HDFC account.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your card number.",phishing
You are eligible for a loan of ₹7635. Provide card number to proceed.,phishing
Congratulations! You have won a car. Send your card number to claim.,phishing
Urgent: Complete KYC for your PNB account by sharing Aadhaar number.,phishing
Your card is blocked. Call +91-9876543210 and provide card number to unblock.,phishing
Your card is blocked. Call +91-9123456780 and provide PAN to unblock.,phishing
Update your Google login immediately or access will be revoked.,phishing
We noticed suspicious activity in your SBI account. Share your PAN now.,phishing
You are eligible for a loan of ₹47941. Provide OTP to proceed.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
Your card is blocked. Call +91-9988776655 and provide PAN to unblock.,phishing
Kindly provide your card number to continue using your PNB account.,phishing
Congratulations! You have won a lottery. Send your card number to claim.,phishing
Update your Netflix login immediately or access will be revoked.,phishing
Update your Microsoft login immediately or access will be revoked.,phishing
Urgent: Complete KYC for your Axis account by sharing Aadhaar number.,phishing
Congratulations! You have won a gift card. Send your OTP to claim.,phishing
We noticed suspicious activity in your Axis account. Share your PIN now.,phishing
This is the Income Tax Department. Pay ₹36078 to avoid penalties.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your PIN.",phishing
We noticed suspicious activity in your ICICI account. Share your OTP now.,phishing
Your card is blocked. Call +91-9876543210 and provide OTP to unblock.,phishing
This is the RBI. Pay ₹40069 to avoid penalties.,phishing
Update your Microsoft login immediately or access will be revoked.,phishing
We noticed suspicious activity in your SBI account. Share your PIN now.,phishing
You are eligible for a loan of ₹26993. Provide Aadhaar number to proceed.,phishing
This is the Income Tax Department. Pay ₹21677 to avoid penalties.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your PIN.",phishing
You are eligible for a loan of ₹34351. Provide OTP to proceed.,phishing
Your card is blocked. Call +91-9876543210 and provide card number to unblock.,phishing
We noticed suspicious activity in your ICICI account. Share your Aadhaar number now.,phishing
Kindly provide your OTP to continue using your PNB account.,phishing
Your ICICI account has been suspended. Verify your card number immediately.,phishing
You are eligible for a loan of ₹18640. Provide PAN to proceed.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your PIN.",phishing
Urgent: Complete KYC for your Axis account by sharing Aadhaar number.,phishing
We noticed suspicious activity in your PNB account. Share your PAN now.,phishing
Congratulations! You have won a car. Send your PAN to claim.,phishing
This is the RBI. Pay ₹4370 to avoid penalties.,phishing
You are eligible for a loan of ₹17698. Provide PAN to proceed.,phishing
We noticed suspicious activity in your ICICI account. Share your card number now.,phishing
Kindly provide your OTP to continue using your SBI account.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your PIN.",phishing
"Dear user, your Google subscription will be cancelled. Confirm your Aadhaar number.",phishing
Congratulations! You have won a lottery. Send your OTP to claim.,phishing
This is the SEBI. Pay ₹12528 to avoid penalties.,phishing
Your card is blocked. Call +91-9988776655 and provide card number to unblock.,phishing
Urgent: Complete KYC for your SBI account by sharing card number.,phishing
Urgent: Complete KYC for your HDFC account by sharing PIN.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your PAN.",phishing
Kindly provide your PIN to continue using your ICICI account.,phishing
Your card is blocked. Call +91-9988776655 and provide OTP to unblock.,phishing
This is the RBI. Pay ₹28079 to avoid penalties.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your Aadhaar number.",phishing
Congratulations! You have won a car. Send your PIN to claim.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your Aadhaar number.",phishing
Your HDFC account has been suspended. Verify your PAN immediately.,phishing
Congratulations! You have won a lottery. Send your card number to claim.,phishing
We noticed suspicious activity in your PNB account. Share your PIN now.,phishing
This is the RBI. Pay ₹23298 to avoid penalties.,phishing
Urgent: Complete KYC for your SBI account by sharing card number.,phishing
Update your Netflix login immediately or access will be revoked.,phishing
Urgent: Complete KYC for your SBI account by sharing PIN.,phishing
We noticed suspicious activity in your PNB account. Share your PAN now.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your OTP.",phishing
You are eligible for a loan of ₹7726. Provide Aadhaar number to proceed.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your Aadhaar number.",phishing
Your SBI account has been suspended. Verify your Aadhaar number immediately.,phishing
Urgent: Complete KYC for your SBI account by sharing OTP.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
This is the SEBI. Pay ₹22912 to avoid penalties.,phishing
You are eligible for a loan of ₹22912. Provide Aadhaar number to proceed.,phishing
We noticed suspicious activity in your PNB account. Share your card number now.,phishing
We noticed suspicious activity in your ICICI account. Share your PAN now.,phishing
Your SBI account has been suspended. Verify your card number immediately.,phishing
This is the SEBI. Pay ₹22375 to avoid penalties.,phishing
Urgent: Complete KYC for your HDFC account by sharing PAN.,phishing
You are eligible for a loan of ₹17698. Provide PIN to proceed.,phishing
You are eligible for a loan of ₹28079. Provide card number to proceed.,phishing
You are eligible for a loan of ₹5822. Provide PIN to proceed.,phishing
Your Axis account has been suspended. Verify your Aadhaar number immediately.,phishing
Urgent: Complete KYC for your PNB account by sharing OTP.,phishing
This is the Income Tax Department. Pay ₹14989 to avoid penalties.,phishing
This is the SEBI. Pay ₹11586 to avoid penalties.,phishing
Your card is blocked. Call +91-9123456780 and provide PAN to unblock.,phishing
Your ICICI account has been suspended. Verify your PIN immediately.,phishing
Congratulations! You have won a gift card. Send your Aadhaar number to claim.,phishing
We noticed suspicious activity in your HDFC account. Share your PIN now.,phishing
Update your Microsoft login immediately or access will be revoked.,phishing
Your ICICI account has been suspended. Verify your OTP immediately.,phishing
Your card is blocked. Call +91-9876543210 and provide PAN to unblock.,phishing
You are eligible for a loan of ₹41145. Provide Aadhaar number to proceed.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Your SBI account has been suspended. Verify your PAN immediately.,phishing
This is the RBI. Pay ₹25512 to avoid penalties.,phishing
This is the RBI. Pay ₹43318 to avoid penalties.,phishing
Your HDFC account has been suspended. Verify your Aadhaar number immediately.,phishing
We noticed suspicious activity in your Axis account. Share your card number now.,phishing
This is the RBI. Pay ₹4276 to avoid penalties.,phishing
We noticed suspicious activity in your PNB account. Share your PAN now.,phishing
Update your Amazon login immediately or access will be revoked.,phishing
Your SBI account has been suspended. Verify your PIN immediately.,phishing
Urgent: Complete KYC for your HDFC account by sharing card number.,phishing
Urgent: Complete KYC for your HDFC account by sharing PAN.,phishing
